,resistant
1084,0
2192,1
1267,0
2415,0
2163,1
1071,0
2536,1
284,1
820,0
2995,0
389,1
3473,1
957,0
1216,0
2175,1
1429,0
419,0
1604,0
2664,0
1221,0
1079,0
2195,1
2865,1
94,0
749,0
2331,0
1094,0
1466,0
1178,0
3449,1
708,1
1576,0
2182,0
2453,1
3252,0
1112,0
2822,0
3411,1
1925,0
2564,0
1033,0
1049,0
758,1
3158,0
1257,0
263,1
2074,1
2493,1
2907,1
1958,1
3274,0
3124,0
2191,1
1596,1
477,0
1428,0
1988,0
394,0
3259,0
973,0
3381,1
3332,0
1462,1
2807,1
2862,1
1840,0
3299,0
869,0
2081,1
2617,0
2482,0
1422,0
3304,0
863,0
1855,0
1755,0
1745,0
2840,1
2887,1
1303,0
807,0
2948,1
227,1
145,0
1910,0
3410,1
3079,0
2095,0
258,1
3417,1
2183,0
3300,0
3185,0
3439,1
2354,1
137,0
2876,0
936,0
2590,0
2726,0
1632,0
2702,1
3174,0
3097,0
823,0
1108,0
955,0
1651,0
2119,0
2781,0
3413,1
625,0
674,0
1282,0
2694,0
3344,0
5,1
2693,0
2584,0
835,0
1472,1
1025,0
240,1
3126,0
1251,0
383,0
2289,1
3330,0
2383,0
2104,0
578,0
204,1
2821,0
1365,0
1754,0
3135,0
866,0
2384,1
727,0
2504,1
2706,0
1853,0
1922,0
2235,0
2713,0
1833,1
1678,0
2881,0
1822,1
840,0
2196,1
2311,1
1564,0
815,0
2397,1
1300,0
2930,1
281,1
2697,0
2812,1
3033,0
1445,0
1628,0
3190,0
604,0
554,1
907,0
2218,1
2045,0
729,1
1938,1
1890,0
1426,0
763,0
1996,0
2313,1
946,0
141,0
618,0
1911,0
1784,1
755,1
610,0
3031,1
101,0
470,0
564,0
332,1
150,0
3167,0
1294,0
2167,0
465,0
1276,0
2341,1
1352,0
231,1
292,1
759,0
1781,0
736,0
1931,0
2673,1
3057,0
3370,0
2889,1
44,0
648,0
3445,1
3260,0
2951,1
148,0
2666,1
3008,0
1524,0
1656,0
181,1
1114,0
2297,0
49,0
634,0
2134,1
3317,0
2054,1
1369,0
2844,0
1525,0
2931,1
811,0
1957,1
3307,0
3223,0
694,0
1081,0
1741,0
45,0
2835,1
1386,0
374,1
1154,0
1277,0
3090,0
493,0
2884,0
878,0
2997,0
1269,0
3084,0
2005,1
15,0
1675,0
2893,1
1977,1
3316,0
1106,0
1299,0
2808,0
236,1
1706,0
2525,0
525,1
318,1
792,0
1404,0
2110,1
2811,1
2339,1
1542,0
1425,0
317,1
546,1
1285,0
3288,0
1789,0
485,0
3207,0
1645,0
526,0
372,1
83,0
2512,0
1928,1
158,1
3060,0
1876,1
594,0
1981,0
2409,0
2469,0
1710,0
668,0
3019,0
1039,1
3156,0
2814,0
448,0
69,0
3101,0
3127,0
1483,0
637,0
2787,0
1130,0
3391,1
3378,0
38,0
3406,1
1197,0
1310,0
3331,0
1437,0
1869,1
1354,0
850,0
2926,1
3387,1
1671,0
826,0
731,1
1200,0
36,0
772,0
1829,1
3367,0
1923,1
1304,0
3267,0
343,1
2206,0
1431,0
630,0
2768,1
2334,1
466,1
762,0
3335,0
1355,0
2731,0
2261,1
2522,0
159,1
1941,1
983,1
1737,0
3313,0
629,0
1315,0
2321,0
1165,0
1583,0
2626,1
1368,0
2869,1
1612,1
2681,0
841,0
879,0
2173,0
54,0
2923,1
2826,0
463,1
2890,1
2600,0
1353,0
3360,0
1500,0
529,0
2723,1
1694,0
2109,1
3450,1
2408,1
1572,0
2410,0
3325,0
2819,1
1280,0
2738,0
2895,1
2060,0
430,0
464,0
533,0
723,0
1067,0
1610,0
1069,0
2610,1
1722,0
1642,0
1548,0
658,0
238,1
1070,0
632,0
95,0
2269,1
2545,1
176,1
152,0
2047,0
556,0
3205,0
2516,0
1137,0
2013,0
1068,0
1738,0
451,0
28,0
2323,1
468,1
622,0
2380,0
1505,0
243,1
579,0
1225,0
3059,0
1007,1
427,1
1655,0
2360,1
2501,0
555,0
2519,0
716,0
1740,0
32,0
3063,0
639,0
2007,1
1075,0
925,0
157,1
1725,0
3041,0
3166,0
3237,0
3169,0
2428,0
3377,1
2543,0
3303,0
1380,0
3282,0
191,1
2375,0
412,0
189,1
3044,0
2959,0
213,1
3061,0
2293,0
2160,0
1629,0
2520,0
2546,0
2133,0
3256,0
857,0
2290,0
600,0
422,0
1627,0
1828,1
954,1
590,0
1262,0
239,1
2613,0
3134,0
1771,0
2905,1
1131,0
393,0
2707,0
1533,0
627,0
2189,1
2771,0
170,1
2086,0
384,0
1563,0
2337,0
1589,0
3092,0
2466,0
2403,0
2667,1
3007,0
498,0
3075,0
2689,0
210,1
804,0
3419,1
882,0
751,0
1966,0
1201,0
161,1
492,0
2056,1
2963,0
2040,1
2117,0
864,0
2147,0
1158,0
2559,0
2979,0
2649,1
689,0
2177,1
1087,0
2526,1
1887,0
3125,0
1338,0
698,0
891,0
3416,1
2633,1
2299,0
3048,0
2462,0
2495,0
2442,0
843,0
2648,1
2148,0
996,0
527,0
1467,0
146,0
135,0
2686,0
174,1
1838,0
862,1
155,0
2362,1
160,1
1714,0
2149,0
3078,0
3087,0
1362,0
1227,0
2725,0
2407,1
3250,0
3451,1
2678,0
56,0
3186,0
2400,1
2544,1
943,1
3130,0
19,0
2031,0
724,0
566,0
1040,0
2739,0
2302,1
377,1
2669,0
2292,0
2455,0
2111,1
1182,0
2556,1
2015,0
3122,0
361,1
686,0
1825,0
2632,0
1770,0
2767,1
847,0
3372,0
1026,0
1873,1
2131,0
278,1
1309,0
1521,0
2805,0
1832,0
3268,0
404,0
2591,0
1918,0
1148,0
606,0
1164,0
268,1
1199,0
3422,1
584,0
586,0
2579,1
1916,0
910,0
1348,0
2114,0
14,0
2866,1
2324,0
3453,1
207,1
1222,0
57,0
3315,0
345,1
1933,0
486,0
2551,0
2364,1
3231,0
2744,0
3460,1
3248,0
1138,0
510,0
2038,0
2864,1
2891,1
2138,1
2655,1
1989,1
1845,0
505,0
3291,0
3341,0
53,0
599,0
33,0
3070,1
254,1
988,0
1461,1
899,0
3164,0
93,0
615,1
987,0
2315,1
1831,0
316,1
3220,0
235,1
2967,0
2976,0
683,0
432,0
3110,0
3390,1
1156,0
1874,1
3403,1
765,0
2815,1
1001,0
2476,1
286,1
348,1
3342,0
3392,1
2487,0
1721,0
2502,0
619,0
1123,0
926,0
1418,0
1295,0
2659,1
1344,0
262,1
2336,0
2090,1
1905,1
870,0
1757,0
635,1
3025,0
2688,0
2467,0
663,0
616,0
3197,0
329,1
2570,0
1402,0
3030,0
2446,1
474,0
705,0
952,0
1064,0
2037,1
472,0
2155,1
2209,1
2423,1
1750,0
1196,0
1993,0
597,0
2456,1
1331,0
2996,0
3365,0
1736,0
2386,0
224,0
654,0
1803,0
99,0
3424,0
1956,0
1374,0
3178,0
6,1
2224,1
2630,0
1994,0
3353,0
246,1
897,0
969,0
438,0
1341,0
1004,0
3398,1
1518,0
2566,0
1715,0
2638,0
1203,0
1818,0
1949,1
3357,0
2898,1
3105,0
280,1
2395,1
844,0
233,0
884,0
313,1
974,0
2285,0
1862,0
1751,0
1325,0
1133,0
1212,0
2346,1
1554,0
1186,1
3001,0
339,1
1286,0
2211,0
1868,0
991,0
2855,0
1914,0
2370,1
2674,1
1319,0
2863,0
1686,0
3400,1
2569,0
783,0
781,0
1092,0
985,1
2223,0
773,0
1824,1
1987,0
357,1
2254,0
3293,0
455,0
506,0
1184,0
1465,0
1030,1
2558,0
2296,0
1630,0
786,0
1320,0
876,0
1557,0
3432,1
3085,0
365,1
2534,1
1562,0
1744,0
1413,0
1209,0
685,0
3462,1
334,1
3309,0
1031,0
1796,0
2405,1
2748,0
1091,0
3264,0
2404,1
2092,0
1220,0
1350,0
3236,0
2742,0
1954,1
3379,1
1468,0
893,0
971,0
2023,0
1952,0
3218,0
55,0
3311,0
1787,1
2145,0
2698,1
2139,1
2190,0
133,0
1536,0
892,0
514,0
1065,0
2983,0
171,1
3173,0
2992,0
1531,0
2886,1
1272,0
338,1
2258,1
467,1
2901,1
3058,0
52,0
888,0
2412,1
2062,1
2389,0
700,0
816,0
2181,0
725,1
3053,0
839,0
795,0
768,0
1163,0
2615,0
3010,0
2700,0
2355,0
2032,1
2620,0
2548,1
29,0
1795,0
2342,1
200,1
2317,1
1560,1
812,0
2528,0
2938,1
1495,0
2498,1
1748,0
1444,0
2920,1
2797,1
1633,0
1674,0
1701,0
680,0
1479,0
222,1
944,1
881,0
132,0
2187,1
580,0
2730,0
990,0
1573,0
2875,1
1506,0
1391,0
2854,1
2491,0
2990,0
2097,0
3213,0
1939,0
1414,0
149,0
1716,0
2577,1
2783,0
385,0
3276,0
2329,0
1011,0
1232,0
1332,0
2436,0
1932,1
966,0
3116,0
1522,0
1393,0
311,1
2439,0
872,0
1580,0
1607,0
2531,0
930,0
3470,1
2647,1
2414,0
1635,0
1060,0
782,0
1689,1
3180,0
2825,1
3002,0
1602,0
3222,0
327,1
1584,0
2272,0
253,1
570,0
2422,1
770,0
2087,1
2390,0
320,1
371,1
3308,0
1051,0
1032,0
778,0
2068,0
1523,0
3144,0
623,0
1207,0
583,0
185,1
1973,1
2310,1
1501,0
2135,1
1732,0
2325,0
1459,0
1990,0
3049,0
1857,1
1904,0
1839,1
3306,0
1972,0
1605,0
911,0
3195,0
932,0
85,0
2578,1
17,0
1252,0
3251,0
407,0
2287,1
655,0
1661,0
2096,0
1317,0
2537,0
2830,1
733,1
1111,0
136,0
1405,0
2917,1
2985,1
771,0
2158,0
1408,0
828,0
2277,0
2795,0
1259,0
2352,1
1747,0
1814,0
1636,0
2338,0
1846,1
22,0
2949,1
2729,0
1218,0
2939,1
469,1
2764,0
2778,0
664,0
1561,0
3100,0
2264,0
1271,0
74,0
1788,1
242,0
2473,0
178,1
2965,0
182,1
1129,0
1419,0
296,1
456,0
1117,0
3131,0
3189,0
1481,0
2387,0
901,0
2751,1
3305,0
1266,0
70,0
1812,0
2735,0
611,0
2838,0
2510,1
2011,1
665,0
2662,1
3175,0
119,0
25,0
3009,0
3114,0
1587,0
538,0
305,1
757,1
1953,1
312,1
1249,0
2203,1
1726,1
1034,0
48,0
916,0
806,0
3000,0
2708,0
2368,1
225,1
2282,0
1780,0
3137,0
2944,1
1363,0
3364,0
1785,1
3024,0
265,1
745,0
3437,1
2989,0
3179,0
425,1
3425,1
1333,0
508,0
1682,0
2954,1
1578,1
1475,1
1176,0
653,0
2420,1
2803,1
2029,0
261,1
1023,0
1441,1
1017,0
167,1
2972,0
1086,0
403,0
741,0
1206,0
2172,0
1382,1
2514,1
3336,0
1246,0
669,0
660,0
3182,0
2833,1
2804,0
3289,0
1851,0
1174,0
593,0
1687,1
3149,0
923,0
2009,1
376,1
1679,1
297,1
1464,0
1454,0
1043,0
3003,0
2193,0
649,0
199,1
3152,0
423,1
61,0
3062,0
2406,1
1692,0
2776,0
1085,0
646,0
241,1
3165,0
398,0
2507,0
1565,0
1136,0
2607,0
9,1
1268,0
794,0
1124,0
2470,1
1491,1
3215,0
1144,0
3297,0
1292,0
2417,0
740,0
3187,0
2452,0
202,1
1037,1
2496,0
2143,0
1509,0
2549,0
3068,0
979,0
2376,0
3168,0
977,0
929,0
255,1
2919,1
1652,0
89,0
1375,0
3244,0
1761,0
1097,0
2440,0
1347,0
1507,0
1672,0
2188,1
2785,0
2763,0
1289,0
2136,0
1012,0
96,0
624,0
3443,1
2658,1
41,0
2460,0
2643,0
1896,0
3271,0
2443,1
134,0
2295,0
537,1
1140,0
1074,0
2240,0
2532,1
500,0
1407,0
1547,0
693,0
3408,1
2474,0
2709,1
2016,0
1076,0
1775,1
347,1
3,1
3181,0
130,0
285,0
2705,0
475,0
3036,0
1813,0
585,0
2164,0
859,0
2120,0
2437,1
748,1
512,0
1455,0
2461,0
2568,0
810,0
249,1
3107,0
1058,0
776,0
1063,0
1668,0
2968,0
1005,0
3015,0
2106,1
2809,0
2248,0
601,0
259,1
401,0
1308,0
476,0
3404,1
1312,0
2132,0
1867,0
3358,0
3433,1
3159,0
2017,0
2749,0
3113,0
460,0
1852,0
798,0
488,0
60,1
3340,0
3066,0
3067,0
2064,1
3466,1
3312,0
350,1
1083,0
2868,1
2146,1
1045,0
4,1
1486,0
902,0
1048,0
947,0
147,0
447,0
2640,0
2151,0
715,0
2885,1
777,0
2249,0
1167,0
559,0
1798,1
1648,0
818,0
890,0
3457,1
1244,0
523,1
837,0
1708,0
2198,1
501,0
1397,0
808,0
2174,1
252,1
3045,0
986,0
2221,1
2518,1
2499,0
421,0
1765,0
177,1
31,0
1611,0
1866,1
1270,0
271,0
3069,0
519,0
877,0
1594,0
3050,0
2580,1
3262,0
1370,0
3103,0
2089,0
2457,1
829,0
1237,0
1955,1
2943,1
2733,0
1898,0
2779,0
1719,0
2275,0
2363,1
2392,0
387,0
1142,0
2318,1
1592,0
115,0
1242,0
1135,0
895,0
3415,1
299,1
2088,1
3216,0
2816,1
1976,0
1377,0
3136,0
2878,0
1526,0
1739,0
2947,1
3037,0
2743,0
917,0
479,0
2398,0
354,1
542,0
1258,0
3376,0
2593,0
2909,1
3436,1
3119,0
2703,1
1577,0
395,0
1834,1
406,0
2818,1
309,1
3458,1
2517,1
1015,0
2857,1
908,0
2253,1
237,1
2066,1
434,0
2004,0
165,1
106,0
676,0
2677,0
1766,0
1943,0
2255,1
2468,0
1383,0
2712,1
273,1
1985,1
1519,0
2908,1
1080,0
3471,1
180,1
1477,0
931,0
1731,0
226,1
2589,0
2103,0
1132,0
2646,1
3234,0
1499,0
1421,0
1968,0
2166,0
1676,1
3395,1
2994,0
2265,1
1126,0
960,0
1183,0
3465,0
1515,0
162,1
1997,0
122,0
1696,0
484,0
201,1
445,0
2006,0
688,0
2991,0
1618,0
1599,0
2488,1
2399,0
900,0
234,1
1792,0
364,1
2691,0
2904,1
1702,0
219,1
3329,0
2682,0
997,1
831,0
1480,0
3363,0
675,0
3428,1
1442,0
503,0
528,0
2740,0
2925,1
2113,1
2704,0
3434,0
2170,1
3326,0
1634,0
1228,0
1093,0
420,0
1951,0
2685,0
2046,1
2800,0
1041,0
2974,0
3440,1
750,0
2128,1
1979,1
2562,1
2581,0
719,0
2645,1
2621,1
197,1
26,1
156,0
1849,1
78,0
1970,1
2356,1
3302,0
1482,0
2506,1
3447,1
30,0
2915,1
1567,0
1166,0
1336,0
2897,1
2366,0
2575,1
1762,0
3193,0
3034,0
652,0
100,0
2430,0
948,0
2288,0
834,0
2083,1
764,0
1050,0
1172,0
1901,1
251,1
1141,0
1865,0
1061,0
349,1
1667,0
1680,1
2521,0
1883,0
3323,0
131,0
1235,0
2319,1
3146,1
1139,0
3362,0
2503,1
443,0
2746,0
3006,0
431,1
2791,1
2069,0
2732,0
2810,1
2553,0
2961,0
2597,0
3200,0
306,1
315,1
3154,0
351,1
2986,0
3270,0
458,0
833,0
2286,1
1119,0
1790,0
1260,0
2699,1
636,0
1944,0
125,0
84,0
1153,0
2922,1
2973,1
3456,1
353,1
120,0
153,0
415,0
3177,0
2722,0
670,0
1730,0
490,0
2541,0
1427,0
3348,0
1107,0
34,0
1683,1
858,0
362,1
399,0
2130,0
487,0
2642,0
1298,0
481,0
1698,0
2668,0
3020,0
963,0
47,0
2184,1
1861,0
2303,1
2582,0
24,0
3047,0
195,0
175,1
3210,0
1329,0
2490,1
118,0
3011,0
541,0
3257,0
976,0
855,0
2872,1
1146,0
413,0
2934,1
2126,1
673,0
2152,0
164,1
970,0
16,0
3228,0
3230,0
1337,0
2357,1
257,1
1384,0
856,0
37,0
1450,0
522,0
1366,0
2270,0
1420,0
418,0
324,1
2247,0
2065,1
2082,1
2,1
2540,0
1921,1
3196,0
761,0
2880,0
2162,0
3014,0
1529,0
2144,1
2966,1
2793,0
3448,1
1440,0
2419,0
2344,1
1256,0
2741,0
80,0
2769,0
1100,0
1168,0
521,0
582,0
1962,0
2913,1
1978,0
1746,0
565,1
3397,1
1311,0
1614,1
3431,1
1688,0
3459,1
3399,1
326,1
3278,0
275,1
1654,0
1893,0
2059,0
1105,0
999,0
1038,0
1797,0
2555,1
409,0
2222,0
2508,1
2000,0
1886,1
1772,0
1705,0
1274,0
1585,0
3429,1
1937,1
1889,0
8,0
1749,0
2281,1
1463,0
264,1
2052,0
1436,0
1155,0
713,0
2274,1
3281,0
682,1
3375,0
2084,1
1773,0
3077,0
1569,1
1945,0
2421,1
2245,0
2916,1
2714,1
1690,0
2413,0
2351,1
2918,1
1453,0
1991,0
1926,1
282,1
2772,0
1924,0
2402,0
3198,0
2834,1
1175,0
799,0
914,0
2301,0
1552,0
744,0
441,0
3421,1
2002,0
1517,1
341,1
1513,0
756,1
2197,1
2165,1
3098,0
2093,0
1791,0
105,0
435,0
2050,1
21,0
695,0
2585,0
499,0
1434,0
2513,0
1471,0
1122,0
2039,1
614,0
489,0
2515,0
1180,0
1729,0
1711,0
2606,0
169,1
2448,1
941,0
1381,0
179,1
211,1
607,0
662,0
1538,0
1394,0
1150,0
552,0
2305,1
2828,1
2710,1
473,0
536,0
3123,0
495,0
1000,0
3272,0
3163,0
3065,0
87,0
1769,0
166,1
903,0
1998,0
2358,1
562,0
1967,0
1261,0
3285,0
659,0
2660,1
1127,0
444,0
1819,1
1217,0
591,1
706,0
605,0
3277,0
110,0
1960,0
3464,1
368,1
1799,1
1452,0
381,1
405,0
2962,0
1103,0
532,0
112,0
203,0
994,0
373,1
1385,0
2792,1
707,0
1247,0
287,1
2883,0
2427,0
1373,0
1488,0
1827,1
1811,1
2150,1
3477,0
183,1
631,0
671,0
817,0
1735,0
424,0
626,0
2846,0
1520,0
2100,0
1644,0
250,1
2799,0
3209,0
2859,0
3157,0
735,0
3339,0
344,1
1456,0
567,0
2449,0
1215,0
2753,0
2431,1
3333,0
1411,0
494,0
2899,1
2214,0
3241,0
359,1
2946,1
3226,0
1767,0
2125,1
429,0
2937,1
1752,0
703,0
1703,0
2524,0
2574,0
2813,0
3393,1
214,1
2276,1
2914,1
3023,0
2587,0
1508,0
551,0
304,1
796,0
1551,0
2435,0
871,0
524,0
2330,0
184,1
3086,0
809,0
1162,0
1265,0
2044,0
1935,0
520,0
3224,0
3035,0
949,0
2964,1
595,0
3239,0
964,0
2616,0
3112,0
2670,0
1305,0
2975,0
188,1
561,0
2127,0
1582,0
1863,0
1720,0
1545,0
3354,0
2320,0
2661,1
3140,0
221,1
3233,0
1485,0
325,1
1288,0
2761,0
1742,0
2650,1
310,1
1474,0
1553,1
279,1
1010,0
1170,0
737,0
2199,1
2987,0
2010,0
2622,1
1301,0
2237,0
378,1
2343,1
414,0
2070,1
1640,0
2099,0
400,0
968,0
2226,0
276,1
548,0
1096,0
303,1
3386,1
2041,1
2401,1
2257,0
550,1
3273,0
3027,0
2316,1
1512,0
3368,0
1326,0
577,0
3430,0
2652,1
1356,0
1339,0
1496,1
3420,1
1677,0
978,0
2026,0
1387,0
436,0
3155,0
356,1
2635,0
1401,0
2754,0
1110,0
1871,1
1056,0
3202,0
2063,0
2217,1
1603,0
1774,0
2903,1
1104,0
3444,1
3446,1
1919,1
27,0
1899,1
2999,0
965,0
543,0
298,1
2952,1
1650,0
1768,0
667,0
612,0
1395,0
1756,0
1396,0
1823,1
710,0
3170,0
3320,0
2418,0
1263,0
3475,1
2858,0
459,0
1360,0
544,1
290,1
3128,0
68,0
3042,0
752,0
1264,0
3018,0
308,1
3454,1
300,1
2933,1
1764,0
2433,0
11,1
402,0
684,0
1581,0
2220,0
1593,0
256,1
3366,1
2728,1
3211,0
1240,0
3094,0
2839,1
2429,0
1372,0
1497,0
1858,0
1793,0
1917,1
1253,0
2393,1
77,0
2379,1
2280,0
3467,0
746,0
3142,0
722,0
2483,1
2033,0
574,0
2861,1
2348,1
2262,0
2105,1
82,0
3022,0
2970,0
75,0
2762,0
896,1
2141,0
2478,0
2852,0
961,0
3461,1
46,0
328,1
319,1
3405,1
1733,0
209,1
1433,0
2118,0
832,0
1160,0
2210,0
1018,0
784,0
2241,1
975,0
1008,0
2349,0
1532,0
575,0
1516,0
2598,1
1042,0
2720,0
1568,0
2675,0
129,0
3091,0
2371,1
3347,1
1487,0
2201,0
1254,0
1894,0
1882,1
218,1
1448,0
3402,1
3385,1
3080,0
3227,0
2194,1
3111,0
1028,0
2094,1
3183,0
410,0
2676,0
117,0
2894,1
2492,0
23,0
2369,0
3380,1
3032,0
1820,1
7,0
921,0
2234,0
1273,0
1880,0
2637,1
193,1
2233,0
3418,1
1241,0
802,0
2377,0
1624,1
2636,0
1543,0
322,1
3388,1
2766,0
269,1
760,0
1057,0
1224,0
3463,1
1211,0
3147,0
3104,0
788,0
2663,0
1014,0
1779,1
681,0
2061,0
1616,0
212,1
702,0
2716,0
677,0
620,0
785,0
2849,0
1027,0
2867,1
39,0
1510,0
1909,1
139,0
2271,0
2718,1
1556,0
633,1
220,1
2750,0
2758,0
650,0
2309,1
2227,1
1239,1
1808,0
3242,0
1691,0
3298,0
205,1
982,0
824,0
718,0
2794,0
1660,0
1763,0
1361,0
1306,0
1847,0
1907,0
1758,0
883,0
42,0
638,0
1974,0
247,1
2877,0
2489,1
2817,1
3371,0
2554,0
1704,0
1929,0
2651,1
1559,0
1888,0
2611,1
2576,1
1881,0
396,0
509,0
803,0
342,1
1099,0
1208,0
417,0
121,0
