,resistant
503,0
3271,0
2081,0
1100,0
1102,0
1379,0
1044,0
3279,0
2116,0
3340,0
868,0
1847,0
2224,0
3243,0
2,0
150,0
1060,0
24,0
2002,1
716,1
578,0
2102,1
3214,0
2211,0
1629,0
1620,0
3179,0
2091,0
2067,0
3118,0
638,0
3314,0
620,0
3124,0
346,0
2125,0
2948,0
2565,0
3256,0
2738,1
2776,1
489,0
1324,0
2443,0
1063,0
2427,0
2183,0
2556,0
221,0
3241,0
2025,0
2878,1
1786,0
1441,0
1364,0
1275,0
3001,0
605,0
2758,1
184,0
368,0
181,1
3373,0
2535,0
2819,1
865,0
912,0
18,0
1573,0
1358,0
682,0
163,0
1334,0
1950,0
3282,0
933,0
1675,0
189,0
2724,0
2407,0
3148,0
2485,0
2365,0
2206,0
120,0
661,0
1362,0
820,0
3105,0
2901,0
2035,0
1656,0
542,0
2640,0
2750,1
397,0
2356,0
1585,0
739,0
2862,1
1702,0
3274,0
2944,0
2551,0
2751,1
2764,1
2175,0
1895,0
887,0
97,1
2012,1
105,0
3008,0
3119,0
2411,0
3382,0
681,0
1733,0
2173,0
870,0
1413,0
1552,0
118,0
1781,0
2280,0
2838,1
2106,1
378,1
2163,0
2491,0
1850,0
1540,0
2529,0
929,0
816,0
1742,0
3223,0
2488,0
784,0
3109,0
2923,0
1071,0
1194,0
2072,1
1280,0
229,0
1366,0
932,1
1266,0
2910,0
1728,0
1332,0
779,0
291,0
8,0
1701,0
558,0
1056,0
454,0
735,0
2130,0
1777,0
2683,0
1013,0
2717,0
2869,1
2832,1
201,0
1059,0
188,0
2740,0
1560,0
856,0
65,1
14,0
576,0
2968,0
738,0
1892,1
1248,0
1564,0
361,0
420,0
270,0
365,0
2110,1
767,0
2410,0
451,0
764,0
1522,0
1809,0
2008,1
3247,0
1435,0
3084,0
2105,0
1883,0
3195,0
1899,0
952,0
2956,0
3330,0
3018,0
1352,0
1093,0
1416,0
297,0
1301,0
1049,0
1350,0
241,0
2287,0
2980,0
3329,0
471,0
374,0
2905,1
2809,0
166,0
2841,1
1911,0
1113,0
1868,0
1920,0
3198,0
467,0
741,0
587,0
1879,1
1981,0
3297,0
1578,0
2626,0
1033,0
1449,0
831,0
1647,1
1080,0
3378,0
2945,0
687,0
433,0
3388,0
2924,0
1593,0
1801,0
1272,1
1355,0
1632,0
2898,0
2561,0
132,0
2722,0
1669,1
2946,0
1226,0
2087,0
459,0
2027,0
1717,0
2635,0
2036,1
1678,0
1776,0
1543,0
3120,0
2616,0
549,0
2258,0
1802,0
950,0
3060,0
187,0
1535,0
2572,0
1186,0
1554,0
1268,0
1069,0
3140,0
3015,0
534,0
62,0
2552,0
127,0
3211,0
1068,0
618,0
754,0
2446,0
811,0
60,0
1406,0
2553,0
2768,1
1105,0
427,0
61,0
2370,0
351,0
1716,0
1718,0
3226,0
3012,0
1980,1
2614,0
2830,1
1227,0
3031,0
2977,0
209,0
2668,0
2540,0
971,0
1739,0
2962,0
1773,0
1644,0
1171,0
2434,0
304,0
923,0
2639,0
799,0
117,0
376,0
43,0
2083,0
3125,0
1771,1
900,0
2970,0
514,0
1953,0
2152,0
2545,0
1748,0
2336,0
702,0
1849,0
846,0
2199,0
1189,0
757,0
555,0
1661,0
2373,0
2669,0
3338,0
1270,0
1255,0
1310,0
1058,0
994,0
1518,0
2398,0
2541,0
2851,1
3304,0
2658,0
1818,0
1521,0
3319,0
2660,0
1130,0
2028,1
2827,1
1402,0
3401,0
975,0
768,0
806,0
453,0
2783,1
1722,0
602,0
431,0
3325,0
283,0
2899,0
3400,0
3345,0
2444,0
401,0
1048,0
2293,0
536,0
88,0
3398,0
1317,0
863,0
718,0
1875,1
2161,0
722,0
3161,0
1198,0
1023,0
2284,0
3129,0
2705,0
1431,0
1846,0
198,0
2543,0
2573,0
3236,0
2399,0
613,0
2917,0
1386,0
1624,0
199,0
1039,0
1445,0
775,0
1699,0
998,0
644,0
1978,0
1986,1
3379,0
850,0
3096,0
1388,0
2455,0
2121,1
1576,0
465,0
2039,0
2011,0
3220,0
142,0
2719,0
2430,0
1579,1
226,0
2047,0
2325,0
1076,0
1041,0
876,0
2976,0
402,0
1159,0
1132,0
202,0
312,0
2546,0
903,0
2982,0
3344,0
114,0
1459,0
1421,0
1830,0
1529,0
408,1
1657,0
1042,0
1212,0
999,1
744,0
2355,0
1970,0
2588,0
2617,0
1621,0
3252,0
2158,0
240,0
362,0
385,0
601,0
325,0
2079,0
3035,0
80,1
331,0
3353,0
1853,0
1474,0
341,0
2023,0
958,0
2928,1
2016,1
2157,0
2409,0
3281,0
359,0
3331,0
3130,0
1927,1
276,0
1170,0
3047,0
2419,0
2095,0
2172,0
1825,0
1886,0
1894,1
2397,0
2930,0
2675,0
1745,0
1494,0
3257,0
969,1
2766,1
1983,0
186,0
2239,0
2514,0
2359,0
597,0
3249,0
2295,0
2752,1
2718,0
2534,0
2595,0
500,0
919,0
3073,0
469,0
628,0
1348,0
2313,0
1667,0
1259,0
1925,1
2030,1
2050,1
1213,0
3048,0
3337,0
2846,1
2931,0
853,1
1291,0
2858,1
748,0
2753,1
3260,0
979,0
2615,0
1889,0
1346,0
2974,0
2285,0
220,0
1539,0
2283,0
2954,0
3294,0
3002,1
1561,0
2481,0
1091,0
2479,0
1778,0
418,0
1335,0
2625,0
2886,1
349,0
3328,0
1400,0
1828,0
320,0
1686,0
583,0
2441,0
1967,1
3090,0
2252,0
1615,0
1964,0
1546,0
344,0
2135,0
1909,0
2034,1
2415,0
3295,0
2084,1
2866,0
3151,0
2585,0
1083,0
1541,0
935,0
1244,0
1577,0
752,0
3238,0
